ID,Filename,Learner ID,Level,Date,Gender,Age,L1,Other L1,Prompt,Subcorpus
305,305.txt,1042,BA 3,22/05/2019,,,Arabic,Hebrew,13,ArCC
306,306.txt,1043,BA 3,13/03/2019,,,Arabic,Hebrew,1,ArCC
307,307.txt,1043,BA 3,06/03/2019,,,Arabic,Hebrew,6,ArCC
308,308.txt,1043,BA 3,27/03/2019,,,Arabic,Hebrew,7,ArCC
309,309.txt,1043,BA 3,01/05/2019,,,Arabic,Hebrew,10,ArCC
310,310.txt,1043,BA 3,29/05/2019,,,Arabic,Hebrew,12,ArCC
311,311.txt,1043,BA 3,2019,,,Arabic,Hebrew,16,ArCC
312,312.txt,1044,BA 3,13/03/2019,,,Arabic,Hebrew,1,ArCC
313,313.txt,1044,BA 3,27/03/2019,,,Arabic,Hebrew,7,ArCC
314,314.txt,1044,BA 3,01/05/2019,,,Arabic,Hebrew,10,ArCC
315,315.txt,1044,BA 3,12/06/2019,,,Arabic,Hebrew,14,ArCC
316,316.txt,1044,BA 3,2019,,,Arabic,Hebrew,16,ArCC
317,317.txt,1045,BA 3,13/03/2019,,,Arabic,Hebrew,1,ArCC
318,318.txt,1045,BA 3,06/03/2019,,,Arabic,Hebrew,6,ArCC
319,319.txt,1045,BA 3,27/03/2019,,,Arabic,Hebrew,7,ArCC
320,320.txt,1045,BA 3,20/03/2019,,,Arabic,Hebrew,8,ArCC
321,321.txt,1045,BA 3,01/05/2019,,,Arabic,Hebrew,10,ArCC
322,322.txt,1045,BA 3,29/05/2019,,,Arabic,Hebrew,12,ArCC
323,323.txt,1045,BA 3,22/05/2019,,,Arabic,Hebrew,13,ArCC
324,324.txt,1045,BA 3,2019,,,Arabic,Hebrew,16,ArCC
325,325.txt,1046,BA 3,13/03/2019,,,Arabic,Hebrew,1,ArCC
326,326.txt,1046,BA 3,06/03/2019,,,Arabic,Hebrew,6,ArCC
327,327.txt,1046,BA 3,27/03/2019,,,Arabic,Hebrew,7,ArCC
